ID Name NumGS Coverage
735 CWNU_1459 0 0.0
736 CWNU_1460 5 0.7728
737 CWNU_1464 0 0.0
738 CWNU_1465 6 0.9672
739 CWNU_1466 2 0.9128
740 CWNU_1467 6 0.954
741 CWNU_1468 5 0.9648
742 CWNU_1470 0 0.0
743 CWNU_1471 1 0.4128
744 CWNU_1473 1 0.4184
745 CWNU_1478 7 1.0
746 CWNU_1479 0 0.0
747 CWNU_1483 2 0.8896
748 CWNU_1484 2 0.8336
749 CWNU_1487 5 0.8036
750 CWNU_1488 2 0.898
751 CWNU_1490 2 0.7904
752 CWNU_1491 7 0.974
753 CWNU_1492 5 0.866
754 CWNU_1494 13 1.0
755 CWNU_1495 1 0.4944
756 CWNU_1497 0 0.0
757 CWNU_1500 3 0.9228
758 CWNU_1502 0 0.0
759 CWNU_1503 2 0.8668
760 CWNU_1504 0 0.0
761 CWNU_1505 0 0.0
762 CWNU_1506 1 0.4916
763 CWNU_1507 3 0.9276
764 CWNU_1508 2 0.6008
765 CWNU_1510 2 0.8376
766 CWNU_1512 3 0.7728
767 CWNU_1515 2 0.868
768 CWNU_1516 0 0.0
769 CWNU_1519 1 0.5424
770 CWNU_1521 2 0.7384
771 CWNU_1523 4 0.986
772 CWNU_1524 1 0.2728
773 CWNU_1526 3 0.8528
774 CWNU_1528 4 0.978
775 CWNU_1529 1 0.3016
776 CWNU_1535 2 0.67
777 CWNU_1536 4 0.9432
778 CWNU_1537 3 0.7716
779 CWNU_1538 6 0.9828
780 CWNU_1540 4 0.9756
781 CWNU_1541 5 0.7516
782 CWNU_1542 1 0.6872
783 CWNU_1543 4 0.982
784 CWNU_1544 5 0.94
785 CWNU_1546 1 0.2992
786 CWNU_1553 2 0.834
787 CWNU_1554 1 0.5772
788 CWNU_1556 5 1.0
789 CWNU_1558 8 0.9924
790 CWNU_1559 4 0.8612
791 CWNU_1560 2 0.708
792 CWNU_1564 1 0.6872
793 CWNU_1566 0 0.0
794 CWNU_1567 1 0.754
795 CWNU_1573 4 0.958
796 CWNU_1577 0 0.0
797 CWNU_1579 0 0.0
798 CWNU_1580 2 0.9188
799 CWNU_1582 3 0.6808
800 CWNU_1585 4 0.942
801 CWNU_1586 5 0.9556
802 CWNU_1590 2 0.64
803 CWNU_1592 1 0.2656
804 CWNU_1594 8 1.0
805 CWNU_1595 0 0.0
806 CWNU_1611 2 0.4088
807 CWNU_1615 5 0.9836
808 CWNU_1616 0 0.0
809 CWNU_1617 2 0.3468
810 CWNU_1619 6 0.896
811 CWNU_1624 1 0.7484
812 CWNU_1625 2 0.8768
813 CWNU_1627 2 0.6532
814 CWNU_1630 5 0.9636
815 CWNU_1631 3 0.9152
816 CWNU_1635 3 0.7756
817 CWNU_1637 3 0.7312
818 CWNU_1638 3 0.8244
819 CWNU_1639 2 0.8244
820 CWNU_1643 8 1.0
821 CWNU_1645 3 0.6152
822 CWNU_1648 2 0.7488
823 CWNU_1654 2 0.6816
824 CWNU_1656 3 0.806
825 CWNU_1664 4 0.9796
826 CWNU_1665 1 0.5816
827 CWNU_1666 1 0.626
828 CWNU_1667 1 0.4156
829 CWNU_1671 2 0.8344
830 CWNU_1673 2 0.7652
831 CWNU_1674 1 0.3056
832 CWNU_1677 3 0.8744
833 CWNU_1678 2 0.6628
834 CWNU_1679 2 0.794
835 CWNU_1680 5 1.0
836 CWNU_1684 0 0.0
837 CWNU_1685 0 0.0
838 CWNU_1694 0 0.0
839 CWNU_1697 1 0.3708
840 CWNU_1702 4 0.8844
841 CWNU_1703 2 0.538
842 CWNU_1704 1 0.2716
843 CWNU_1706 1 0.3444
844 CWNU_1707 0 0.0
845 CWNU_1712 3 0.5292
846 CWNU_1714 4 0.9464
847 CWNU_1715 5 0.8048
848 CWNU_1717 10 1.0
849 CWNU_1718 0 0.0
850 CWNU_1719 6 0.9496
851 CWNU_1720 6 0.9996
852 CWNU_1722 0 0.0
853 CWNU_1726 4 0.9012
854 CWNU_1730 6 0.9312
855 CWNU_1733 5 0.954
856 CWNU_1734 1 0.6028
857 CWNU_1746 3 0.9028
858 CWNU_1749 1 0.5984
859 CWNU_1752 1 0.7432
860 CWNU_1753 0 0.0
861 CWNU_1755 4 0.9584
